date,open,high,low,close,volume
2010-01-04,42.220001220703125,42.220001220703125,42.220001220703125,42.220001220703125,0
2010-01-05,42.209999084472656,42.209999084472656,42.209999084472656,42.209999084472656,0
2010-01-06,42.2599983215332,42.2599983215332,42.2599983215332,42.2599983215332,0
2010-01-07,42.33000183105469,42.33000183105469,42.33000183105469,42.33000183105469,0
2010-01-08,42.54999923706055,42.54999923706055,42.54999923706055,42.54999923706055,0
2010-01-11,42.529998779296875,42.529998779296875,42.529998779296875,42.529998779296875,0
2010-01-12,42.06999969482422,42.06999969482422,42.06999969482422,42.06999969482422,0
2010-01-14,42.2400016784668,42.2400016784668,42.2400016784668,42.2400016784668,0
2010-01-15,41.59000015258789,41.59000015258789,41.59000015258789,41.59000015258789,0
2010-01-18,41.83000183105469,41.83000183105469,41.83000183105469,41.83000183105469,0
2010-01-19,42.16999816894531,42.16999816894531,42.16999816894531,42.16999816894531,0
2010-01-20,41.31999969482422,41.31999969482422,41.31999969482422,41.31999969482422,0
2010-01-21,40.619998931884766,40.619998931884766,40.619998931884766,40.619998931884766,0
2010-01-22,40.18000030517578,40.18000030517578,40.18000030517578,40.18000030517578,0
2010-01-25,39.77000045776367,39.77000045776367,39.77000045776367,39.77000045776367,0
2010-01-26,40.040000915527344,40.040000915527344,40.040000915527344,40.040000915527344,0
2010-01-27,39.540000915527344,39.540000915527344,39.540000915527344,39.540000915527344,0
2010-01-28,38.790000915527344,38.790000915527344,38.790000915527344,38.790000915527344,0
2010-01-29,39.33000183105469,39.33000183105469,39.33000183105469,39.33000183105469,0
2010-02-01,39.560001373291016,39.560001373291016,39.560001373291016,39.560001373291016,0
2010-02-02,40.09000015258789,40.09000015258789,40.09000015258789,40.09000015258789,0
2010-02-03,39.88999938964844,39.88999938964844,39.88999938964844,39.88999938964844,0
2010-02-04,38.79999923706055,38.79999923706055,38.79999923706055,38.79999923706055,0
2010-02-05,37.47999954223633,37.47999954223633,37.47999954223633,37.47999954223633,0
2010-02-08,37.93000030517578,37.93000030517578,37.93000030517578,37.93000030517578,0
2010-02-09,37.9900016784668,37.9900016784668,37.9900016784668,37.9900016784668,0
2010-02-10,38.22999954223633,38.22999954223633,38.22999954223633,38.22999954223633,0
2010-02-11,38.029998779296875,38.029998779296875,38.029998779296875,38.029998779296875,0
2010-02-12,37.849998474121094,37.849998474121094,37.849998474121094,37.849998474121094,0
2010-02-15,37.95000076293945,37.95000076293945,37.95000076293945,37.95000076293945,0
2010-02-16,38.58000183105469,38.58000183105469,38.58000183105469,38.58000183105469,0
2010-02-17,39.16999816894531,39.16999816894531,39.16999816894531,39.16999816894531,0
2010-02-18,39.40999984741211,39.40999984741211,39.40999984741211,39.40999984741211,0
2010-02-19,39.63999938964844,39.63999938964844,39.63999938964844,39.63999938964844,0
2010-02-22,39.5099983215332,39.5099983215332,39.5099983215332,39.5099983215332,0
2010-02-23,38.9900016784668,38.9900016784668,38.9900016784668,38.9900016784668,0
2010-02-24,39.08000183105469,39.08000183105469,39.08000183105469,39.08000183105469,0
2010-02-25,38.290000915527344,38.290000915527344,38.290000915527344,38.290000915527344,0
2010-02-26,39.0,39.0,39.0,39.0,0
2010-03-01,39.63999938964844,39.63999938964844,39.63999938964844,39.63999938964844,0
2010-03-02,40.09000015258789,40.09000015258789,40.09000015258789,40.09000015258789,0
2010-03-03,40.40999984741211,40.40999984741211,40.40999984741211,40.40999984741211,0
2010-03-04,40.2599983215332,40.2599983215332,40.2599983215332,40.2599983215332,0
2010-03-05,41.119998931884766,41.119998931884766,41.119998931884766,41.119998931884766,0
2010-03-08,41.04999923706055,41.04999923706055,41.04999923706055,41.04999923706055,0
2010-03-09,41.119998931884766,41.119998931884766,41.119998931884766,41.119998931884766,0
2010-03-10,41.470001220703125,41.470001220703125,41.470001220703125,41.470001220703125,0
2010-03-11,41.310001373291016,41.310001373291016,41.310001373291016,41.310001373291016,0
2010-03-12,41.29999923706055,41.29999923706055,41.29999923706055,41.29999923706055,0
2010-03-15,40.90999984741211,40.90999984741211,40.90999984741211,40.90999984741211,0
2010-03-16,41.41999816894531,41.41999816894531,41.41999816894531,41.41999816894531,0
2010-03-17,41.619998931884766,41.619998931884766,41.619998931884766,41.619998931884766,0
2010-03-18,41.40999984741211,41.40999984741211,41.40999984741211,41.40999984741211,0
2010-03-19,41.279998779296875,41.279998779296875,41.279998779296875,41.279998779296875,0
2010-03-22,41.29999923706055,41.29999923706055,41.29999923706055,41.29999923706055,0
2010-03-23,41.560001373291016,41.560001373291016,41.560001373291016,41.560001373291016,0
2010-03-24,41.529998779296875,41.529998779296875,41.529998779296875,41.529998779296875,0
2010-03-25,42.060001373291016,42.060001373291016,42.060001373291016,42.060001373291016,0
2010-03-26,41.939998626708984,41.939998626708984,41.939998626708984,41.939998626708984,0
2010-03-29,42.060001373291016,42.060001373291016,42.060001373291016,42.060001373291016,0
2010-03-30,41.91999816894531,41.91999816894531,41.91999816894531,41.91999816894531,0
2010-03-31,41.779998779296875,41.779998779296875,41.779998779296875,41.779998779296875,0
