spec,beta_gap,se_gap,t_gap,beta_level,se_level,t_level,n
Pooled OLS (HC1),-0.27926465823367125,0.03363190692935031,-8.303563007007465,-0.3550119878945419,0.015941549806508002,-22.26960315675276,3324
Pooled OLS (actor-clustered),-0.27926465823367125,0.043819294928993745,-6.3730979397592105,-0.3550119878945419,0.04941246053656855,-7.184665245152265,3324
Pooled OLS (time-clustered),-0.27926465823367125,0.03957152955229207,-7.057211621416733,-0.3550119878945419,0.021292630531661756,-16.672998076336576,3324
Actor FE (actor-clustered),0.08427904008102446,0.039201827663445016,2.1498752763410853,-0.8266643997446589,0.06042871931031945,-13.67999204979823,3324
Time FE (time-clustered),-0.2796842485774726,0.03958091812186576,-7.066138479060851,-0.35480198594464735,0.02124711529104816,-16.69883092760986,3324
Two-way FE (actor-clustered),0.0845782761123455,0.03913119643845758,2.1614027632751647,-0.8273882477908869,0.060384919926686036,-13.701901878737733,3324
