step,mean_r2,std_r2,mean_mse,n_windows,delta_r2_vs_prev,ci_lo_prev,ci_hi_prev,frac_improved_prev,delta_r2_vs_ar1,ci_lo_ar1,ci_hi_ar1
AR(1) T=10yr,0.622648875705381,0.05788043085829701,0.03277688261365641,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S0: baseline (T=10,K=3,Schur,full-demean)",0.26636474782221464,0.17123631861001792,0.06366009615121908,10,-0.3562841278831662,-0.46192811059693606,-0.26619014706859573,0.0,-0.3562841278831662,-0.46192811059693606,-0.26619014706859573
S1: +EWM demean,-0.8912783080117809,3.698050634896009,0.16721691281455991,10,-1.1576430558339952,-3.714982005587092,0.20239356543214854,0.7,-1.5139271837171617,-4.023994267888455,-0.21875180068110486
"S2: +T=5yr,K=5",-1576.8501504699802,4667.266738094517,137.60702421365278,10,-1575.9588721619684,-4709.522197402052,2.3802330858081127,0.4,-1577.4727993456859,-4712.233593858352,-0.3326317923021136
S3: +spherical R,0.43948368030277773,0.10101593838156976,0.04870730694385681,10,1577.289634150283,0.14671019548802622,4712.063142125307,1.0,-0.1831651954026032,-0.2241434624501894,-0.14227973649381362
S4: +DMD,0.4720756197636765,0.11447426987299905,0.04588301065321927,10,0.032591939460898854,0.0058416946623708514,0.05563732018785802,0.9,-0.15057325594170434,-0.2016323728861094,-0.10484497062587414
"S5: +online Q,K=8",0.5302635399387714,0.08290201290048209,0.040823644737973744,10,0.05818792017509476,0.034994399673724245,0.09228307771081726,1.0,-0.09238533576660957,-0.12456117204690909,-0.060137775719937545
"S6: +F=0.99I,Q0=0.5I",0.548600001506648,0.07947323592146827,0.039233446478946506,10,0.01833646156787676,0.01343557146288125,0.02373687258141495,1.0,-0.07404887419873281,-0.1057151250586923,-0.04338682992681991
S7: +rolling basis,0.6910995135853799,0.04749050512413997,0.026821154684813952,10,0.14249951207873185,0.11101550158581919,0.17157946646738073,1.0,0.06845063787999905,0.054210234937058566,0.08223200757923127
