comparison,mean,ci_lo_95,ci_hi_95,se,perm_p,sign_wins,sign_p,dm_stat,dm_p
DeltaMSE vs AR(1),-0.008049940893553246,-0.009630560837970259,-0.00629247464188655,0.0008462567966260158,0.0071992800719928,8/8,0.00390625,-10.075031183893834,1.7007334243569588e-23
DeltaMAE vs AR(1),-0.022425278050132565,-0.02704547037362121,-0.017448532216839424,0.0024560471439674446,0.008999100089991,8/8,0.00390625,-10.075031183893834,1.7007334243569588e-23
DeltaR^2 vs AR(1),0.0927327080780178,0.07331322416141012,0.1104676676036822,0.009563997094914583,,8/8,0.00390625,-10.075031183893834,1.7007334243569588e-23
