quarter,angle_deg,ci_lo_95,ci_hi_95,boot_se,K,T_yr,N
2010-04-01,22.268661532840245,25.439434483737806,43.84874642400849,4.719895946771031,8,5,71
2010-10-01,36.17305372347683,30.175621420240955,48.75160807971161,5.031756685056626,8,5,83
2011-01-01,30.59772694692994,30.562221726461335,49.23254615757826,4.638964176429212,8,5,83
2011-04-01,14.419013766419893,37.1032381406047,55.939825168427724,4.887276447829443,8,5,83
2012-01-01,22.90708360212012,33.944921958836154,53.81090605574119,5.035704961832845,8,5,86
2012-04-01,26.1108300128221,35.35612484286203,56.18148020456294,5.152000926219778,8,5,86
2012-07-01,40.90751056404808,35.409122974851414,54.14972131925499,4.931775932132505,8,5,86
2012-10-01,22.445026217011208,36.63985581074336,54.72465897752333,4.464547478508341,8,5,86
2013-01-01,20.576904710435905,32.69408486051842,52.2932568054748,4.757239468123362,8,5,86
2013-04-01,27.608365549432886,33.264058308913754,51.97976738751013,4.697358072233693,8,5,86
2013-07-01,18.37979634500322,34.33769811973924,53.265236303993404,4.8291688161544135,8,5,86
2014-04-01,23.408899911595352,31.128354082294457,51.43258015153719,5.204109239853288,8,5,88
2014-07-01,25.596585244337874,33.223028676432826,52.72548268704574,4.789737106931533,8,5,88
2014-10-01,31.137616843427555,35.69524302131101,57.761930695128655,5.399984727821199,8,5,88
2015-04-01,30.032365485315427,31.272402958764552,50.47923416712277,4.888441720232795,8,5,92
2015-07-01,31.077944379338277,38.99174919659847,56.9842067234081,4.48124044185711,8,5,92
2015-10-01,25.428696942021805,31.301612154090108,49.066256709298564,4.7354303491623515,8,5,92
2016-01-01,23.820074216298497,32.01930746554582,50.546009497809614,4.586232702590491,8,5,92
2016-04-01,18.28462533653993,32.555108824346135,51.00379317625027,4.706568297595257,8,5,92
2016-07-01,21.116450380628432,30.590771707707972,49.74924617856047,4.653682646669127,8,5,92
2016-10-01,29.284223879843996,33.43610627098677,50.85507075571482,4.509255777195914,8,5,92
2017-01-01,24.12249243250522,34.421917287826744,52.57225638740247,4.570849206145321,8,5,92
2017-04-01,31.752630866777906,37.27128373622082,55.01691514076405,4.452476348896887,8,5,92
2017-07-01,25.542619606070886,33.47049719013906,52.583565720491976,4.769047276938379,8,5,92
2017-10-01,25.13520578165514,29.538361071195304,49.08327745358655,4.909633273021518,8,5,92
2018-01-01,24.198073340003628,35.32612007003214,53.44605043623058,4.462296100162963,8,5,92
2018-04-01,36.81277230376832,31.375146931896037,48.412914145883164,4.476781682283846,8,5,92
2018-07-01,22.39108445476277,33.82587185031809,52.61023171213695,4.714959077228067,8,5,92
2018-10-01,29.520752096026982,34.598382236005506,54.92576129842213,4.821586710790097,8,5,92
2019-01-01,11.46418359958282,30.024619452528686,49.20877844761651,4.668979073780612,8,5,92
2019-04-01,27.25952582295531,30.25314893845456,50.39239075876476,5.066825726303851,8,5,92
2019-07-01,16.333241631749885,34.71988758724742,54.81816339307532,5.253470315414649,8,5,92
2019-10-01,23.15953117865273,35.042794701216295,54.278613569902824,4.814688301728194,8,5,92
2020-01-01,20.252784797112316,30.27591360718043,49.05369483876367,4.651062475115443,8,5,92
2020-04-01,22.19432860071774,34.33137548171072,54.67334107400366,5.258497691601523,8,5,92
2020-07-01,26.757017990802552,35.37606658148676,53.330868524428425,4.438000658475084,8,5,92
2020-10-01,20.1732114345744,33.116334829524114,52.31864763140594,4.902376445352588,8,5,92
2021-04-01,23.028004779777707,38.22134342763354,55.317465391019745,4.392432695733287,8,5,93
2021-07-01,32.94339575409908,34.73845401687101,52.73163697223497,4.593139044504267,8,5,93
2021-10-01,29.50366487217555,34.9307622362612,56.399951979051636,5.333466173313134,8,5,93
2022-01-01,18.07377662035261,32.89388053718792,52.555502650225,5.108148503268364,8,5,93
2022-04-01,19.440143055698872,34.9530222016916,54.96623681897259,4.97498060705586,8,5,93
2022-07-01,37.71626022121217,37.86617080240438,55.96807682381005,4.71704782643593,8,5,93
2022-10-01,28.857069579877287,29.165855111808554,47.217257456873575,4.7083181703141666,8,5,93
2023-01-01,31.310381210244387,32.66717815452006,50.606736943798516,4.566895540092657,8,5,93
2023-04-01,32.27317735111098,36.57217480434377,53.797676459269596,4.17695228363356,8,5,93
2023-07-01,30.23779705794603,32.658024905292095,50.701182330597995,4.559376505551001,8,5,93
2023-10-01,9.06093685980051,31.778160534182938,51.762854910998605,5.07315089675965,8,5,93
2024-01-01,30.517778210276408,31.615533133965737,51.00089934617754,4.87939632941311,8,5,93
2024-04-01,32.27276758133902,37.160954018682176,55.9275066748233,4.537575860422953,8,5,93
2024-07-01,26.948210872909556,27.456105525227347,47.730261817561384,4.9961791025082505,8,5,93
2024-10-01,32.65349146562094,36.14471699325167,54.40813948992297,4.599043088888526,8,5,93
