ticker,name,sector,gics_code
HIMS,Hims & Hers Health,Health Care,35
HL,Hecla Mining,Materials,15
HLI,Houlihan Lokey,Financials,40
HLNE,Hamilton Lane,Financials,40
HOG,Harley-Davidson,Consumer Discretionary,25
HOMB,Home BancShares,Financials,40
HQY,HealthEquity,Health Care,35
HR,Healthcare Realty Trust,Real Estate,60
HRB,H&R Block,Consumer Discretionary,25
HWC,Hancock Whitney,Financials,40
HXL,Hexcel,Industrials,20
IBOC,Intl Bancshares Corp,Financials,40
IDA,Idacorp,Utilities,55
ILMN,"Illumina, Inc.",Health Care,35
INGR,Ingredion,Consumer Staples,30
IPGP,IPG Photonics,Information Technology,45
IRT,IRT Living,Real Estate,60
ITT,ITT Inc.,Industrials,20
JAZZ,Jazz Pharmaceuticals,Health Care,35
JEF,Jefferies,Financials,40
JHG,Janus Henderson,Financials,40
JLL,Jones Lang LaSalle,Real Estate,60
KBH,KB Home,Consumer Discretionary,25
KBR,"KBR, Inc.",Industrials,20
